"table__cell","table__cell 2","table__cell 3","table__cell 4","table__cell 5","table__cell 6","table__cell 7","icon-elbow","icon-elbow href"
"Madrid","3.939 €/m2","- 0,9 %","- 1,3 %","+ 6,5 %","3.992 €/m2 sep 2022","- 1,3 %","",""
"4.331 €/m2","0,0 %","0,0 %","","+ 1,7 %","4.331 €/m2 dic 2022","+ 6,7 %","Arganzuela","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/arganzuela/"
"3.414 €/m2","3.663 €/m2 mar 2009","- 1,2 %","- 6,8 %","+ 3,4 %","","+ 1,6 %","Barajas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/barajas/"
"2.333 €/m2","3.173 €/m2 jun 2007","- 26,5 %","+ 8,6 %","+ 0,6 %","","+ 0,5 %","Carabanchel","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/carabanchel/"
"5.205 €/m2","5.220 €/m2 nov 2022","- 0,3 %","- 0,3 %","+ 0,4 %","","+ 7,5 %","Centro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/centro/"
"5.590 €/m2","5.607 €/m2 nov 2022","- 0,3 %","- 0,3 %","+ 0,5 %","","+ 9,4 %","Chamartín","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamartin/"
"5.870 €/m2","5.915 €/m2 sep 2022","- 0,4 %","- 0,8 %","+ 8,2 %","","- 0,8 %","Chamberí","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/chamberi/"
"3.255 €/m2","3.578 €/m2 oct 2007","- 1,2 %","- 1,0 %","+ 9,7 %","","- 9,0 %","Ciudad Lineal","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/ciudad-lineal/"
"3.807 €/m2","3.841 €/m2 oct 2022","- 0,8 %","- 0,9 %","+ 0,6 %","","+ 5,2 %","Fuencarral","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/fuencarral/"
"3.824 €/m2","4.003 €/m2 jul 2022","- 1,2 %","- 3,7 %","+ 0,7 %","","- 4,5 %","Hortaleza","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/hortaleza/"
"2.476 €/m2","3.019 €/m2 nov 2007","- 0,2 %","- 18,0 %","+ 1,8 %","","+ 9,0 %","Latina","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/latina/"
"4.291 €/m2","0,0 %","0,0 %","","+ 1,9 %","4.292 €/m2 nov 2022","+ 5,4 %","Moncloa","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moncloa/"
"2.614 €/m2","2.718 €/m2 sep 2009","- 1,4 %","- 1,5 %","+ 3,2 %","","- 3,8 %","Moratalaz","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/moratalaz/"
"2.112 €/m2","2.942 €/m2 abr 2008","- 1,6 %","- 28,2 %","+ 0,3 %","","+ 10,0 %","Puente de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/puente-de-vallecas/"
"5.017 €/m2","0,0 %","- 0,8 %","- 1,5 %","+ 6,0 %","5.094 €/m2 oct 2022","","Retiro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/retiro/"
"6.633 €/m2","6.732 €/m2 ago 2022","- 0,3 %","- 1,2 %","+ 8,9 %","","- 1,5 %","Salamanca","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/salamanca/"
"2.776 €/m2","0,0 %","- 1,0 %","- 23,0 %","+ 6,9 %","3.603 €/m2 nov 2007","","San Blas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/san-blas/"
"4.051 €/m2","4.051 €/m2 dic 2022","","+ 10,1 %","+ 0,3 %","0,0 %","+ 1,9 %","Tetuán","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/tetuan/"
"2.182 €/m2","3.110 €/m2 nov 2007","- 0,6 %","- 29,8 %","+ 1,9 %","","+ 8,3 %","Usera","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/usera/"
"2.708 €/m2","2.842 €/m2 ago 2022","- 2,5 %","- 2,7 %","+ 12,2 %","","- 4,7 %","Vicálvaro","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/vicalvaro/"
"2.529 €/m2","2.955 €/m2 mayo 2008","- 14,4 %","+ 6,6 %","+ 0,8 %","","+ 4,5 %","Villa de Vallecas","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villa-de-vallecas/"
"1.834 €/m2","0,0 %","- 0,2 %","- 36,8 %","+ 8,6 %","2.900 €/m2 feb 2008","","Villaverde","https://www.idealista.com/sala-de-prensa/informes-precio-vivienda/venta/madrid-comunidad/madrid-provincia/madrid/villaverde/"